SYNTHETIC BANK ACCOUNT STATEMENT
Period: 2026-01-01 — 2026-03-31
Every data row below is one posted bank transaction; no archive or instructions are included.
transaction_id,occurred_at,posted_at,merchant,description,amount_minor,currency,card_last4,channel,status,category_id,merchant_country,mcc,authorization_code,terminal_id,counterparty,balance_after_minor,payment_purpose,provider_reference,fee_minor
TX-000001,2026-01-01 09:07:00,2026-01-02,NOVA MARKET,groceries,-727,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000001,TERM-1001,counterparty-01,7499273,household account; groceries; statement export,PROVIDER-2026-00000001,1
TX-000210,2026-01-30 14:30:00,2026-01-31,CITY RIDE,completed ride,-7360,RUB,4400,qr,posted,transport,RU,4121,AUTH-0000000210,TERM-1030,counterparty-18,5776224,household account; completed ride; statement export,PROVIDER-2026-00000210,2
TX-000211,2026-01-31 15:37:00,2026-02-01,RIVER PAY,partial refund,42000,RUB,4401,card,posted,unknown,RU,возврат,AUTH-0000000211,TERM-1031,counterparty-19,5818224,household account; partial refund; statement export,PROVIDER-2026-00000211,3
TX-000212,2026-02-01 16:44:00,2026-02-02,NORTH CAFE,coffee and lunch,-7634,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000212,TERM-1032,counterparty-20,5810590,household account; coffee and lunch; statement export,PROVIDER-2026-00000212,0
TX-000213,2026-02-02 17:51:00,2026-02-03,MEDI-CORNER,pharmacy goods,-7771,RUB,4403,qr,posted,health.pharmacy,RU,5912,AUTH-0000000213,TERM-1033,counterparty-21,5802819,household account; pharmacy goods; statement export,PROVIDER-2026-00000213,1
TX-000214,2026-02-03 18:58:00,2026-02-04,STREAM BOX,monthly subscription,-7908,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000214,TERM-1034,counterparty-22,5794911,household account; monthly subscription; statement export,PROVIDER-2026-00000214,2
TX-000215,2026-02-04 19:05:00,2026-02-05,GREEN MARKET,fresh food,-8045,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000215,TERM-1035,counterparty-23,5786866,household account; fresh food; statement export,PROVIDER-2026-00000215,3
TX-000216,2026-02-05 08:12:00,2026-02-06,BOOK HOUSE,books and stationery,-8182,RUB,4406,qr,posted,unknown,RU,5942,AUTH-0000000216,TERM-1036,counterparty-24,5778684,household account; books and stationery; statement export,PROVIDER-2026-00000216,0
TX-000217,2026-02-06 09:19:00,2026-02-07,NOVA MARKET,groceries,-8319,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000217,TERM-1037,counterparty-25,5770365,household account; groceries; statement export,PROVIDER-2026-00000217,1
TX-000218,2026-02-07 10:26:00,2026-02-08,CITY RIDE,completed ride,-8456,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000218,TERM-1038,counterparty-26,5761909,household account; completed ride; statement export,PROVIDER-2026-00000218,2
TX-000219,2026-02-08 11:33:00,2026-02-09,RIVER PAY,online order,-8593,RUB,4409,qr,posted,services.digital,RU,5812,AUTH-0000000219,TERM-1039,counterparty-27,5753316,household account; online order; statement export,PROVIDER-2026-00000219,3
TX-000220,2026-02-09 12:40:00,2026-02-10,NORTH CAFE,coffee and lunch,-8730,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000220,TERM-1040,counterparty-28,5744586,household account; coffee and lunch; statement export,PROVIDER-2026-00000220,0
TX-000221,2026-02-10 13:47:00,2026-02-11,MEDI-CORNER,pharmacy goods,-8867,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000221,TERM-1041,counterparty-29,5735719,household account; pharmacy goods; statement export,PROVIDER-2026-00000221,1
TX-000222,2026-02-11 14:54:00,2026-02-12,STREAM BOX,monthly subscription,-9004,RUB,4402,qr,posted,services.digital,RU,4899,AUTH-0000000222,TERM-1042,counterparty-30,5726715,household account; monthly subscription; statement export,PROVIDER-2026-00000222,2
TX-000223,2026-02-12 15:01:00,2026-02-13,GREEN MARKET,fresh food,-9141,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000223,TERM-1043,counterparty-31,5717574,household account; fresh food; statement export,PROVIDER-2026-00000223,3
TX-000224,2026-02-13 16:08:00,2026-02-14,BOOK HOUSE,books and stationery,-9278,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000224,TERM-1044,counterparty-00,5708296,household account; books and stationery; statement export,PROVIDER-2026-00000224,0
TX-000225,2026-02-14 17:15:00,2026-02-15,NOVA MARKET,groceries,-9415,RUB,4405,qr,posted,food.groceries,RU,5311,AUTH-0000000225,TERM-1045,counterparty-01,5698881,household account; groceries; statement export,PROVIDER-2026-00000225,1
TX-000226,2026-02-15 18:22:00,2026-02-16,CITY RIDE,completed ride,-9552,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000226,TERM-1046,counterparty-02,5689329,household account; completed ride; statement export,PROVIDER-2026-00000226,2
TX-000227,2026-02-16 19:29:00,2026-02-17,RIVER PAY,online order,-9689,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000227,TERM-1047,counterparty-03,5679640,household account; online order; statement export,PROVIDER-2026-00000227,3
TX-000228,2026-02-17 08:36:00,2026-02-18,NORTH CAFE,coffee and lunch,-9826,RUB,4408,qr,posted,food.cafe,RU,5814,AUTH-0000000228,TERM-1048,counterparty-04,5669814,household account; coffee and lunch; statement export,PROVIDER-2026-00000228,0
TX-000229,2026-02-18 09:43:00,2026-02-19,MEDI-CORNER,pharmacy goods,-9963,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000229,TERM-1049,counterparty-05,5659851,household account; pharmacy goods; statement export,PROVIDER-2026-00000229,1
TX-000230,2026-02-19 10:50:00,2026-02-20,STREAM BOX,monthly subscription,-10100,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000230,TERM-1050,counterparty-06,5649751,household account; monthly subscription; statement export,PROVIDER-2026-00000230,2
TX-000231,2026-02-20 11:57:00,2026-02-21,GREEN MARKET,fresh food,-10237,RUB,4401,qr,posted,food.groceries,RU,5411,AUTH-0000000231,TERM-1051,counterparty-07,5639514,household account; fresh food; statement export,PROVIDER-2026-00000231,3
TX-000232,2026-02-21 12:04:00,2026-02-22,BOOK HOUSE,books and stationery,-10374,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000232,TERM-1052,counterparty-08,5629140,household account; books and stationery; statement export,PROVIDER-2026-00000232,0
TX-000233,2026-02-22 13:11:00,2026-02-23,NOVA MARKET,groceries,-10511,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000233,TERM-1053,counterparty-09,5618629,household account; groceries; statement export,PROVIDER-2026-00000233,1
TX-000234,2026-02-23 14:18:00,2026-02-24,CITY RIDE,completed ride,-10648,RUB,4404,qr,posted,transport,RU,4121,AUTH-0000000234,TERM-1054,counterparty-10,5607981,household account; completed ride; statement export,PROVIDER-2026-00000234,2
TX-000235,2026-02-24 15:25:00,2026-02-25,RIVER PAY,online order,-10785,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000235,TERM-1055,counterparty-11,5597196,household account; online order; statement export,PROVIDER-2026-00000235,3
TX-000236,2026-02-25 16:32:00,2026-02-26,NORTH CAFE,coffee and lunch,-10922,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000236,TERM-1056,counterparty-12,5586274,household account; coffee and lunch; statement export,PROVIDER-2026-00000236,0
TX-000237,2026-02-26 17:39:00,2026-02-27,MEDI-CORNER,pharmacy goods,-11059,RUB,4407,qr,posted,health.pharmacy,RU,5912,AUTH-0000000237,TERM-1057,counterparty-13,5575215,household account; pharmacy goods; statement export,PROVIDER-2026-00000237,1
TX-000238,2026-02-27 18:46:00,2026-02-28,STREAM BOX,monthly subscription,-11196,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000238,TERM-1058,counterparty-14,5564019,household account; monthly subscription; statement export,PROVIDER-2026-00000238,2
TX-000239,2026-02-28 19:53:00,2026-03-01,GREEN MARKET,fresh food,-11333,RUB,4409,card,posted,food.groceries,RU,5411,AUTH-0000000239,TERM-1059,counterparty-15,5552686,household account; fresh food; statement export,PROVIDER-2026-00000239,3
TX-000240,2026-03-01 08:00:00,2026-03-02,BOOK HOUSE,books and stationery,-11470,RUB,4400,qr,posted,unknown,RU,5942,AUTH-0000000240,TERM-1060,counterparty-16,5541216,household account; books and stationery; statement export,PROVIDER-2026-00000240,0
TX-000241,2026-03-02 09:07:00,2026-03-03,NOVA MARKET,groceries,-11607,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000241,TERM-1061,counterparty-17,5529609,household account; groceries; statement export,PROVIDER-2026-00000241,1
TX-000242,2026-03-03 10:14:00,2026-03-04,CITY RIDE,completed ride,-11744,RUB,4402,card,posted,transport,RU,4121,AUTH-0000000242,TERM-1062,counterparty-18,5517865,household account; completed ride; statement export,PROVIDER-2026-00000242,2
TX-000243,2026-03-04 11:21:00,2026-03-05,RIVER PAY,online order,-11881,RUB,4403,qr,posted,services.digital,RU,5812,AUTH-0000000243,TERM-1063,counterparty-19,5505984,household account; online order; statement export,PROVIDER-2026-00000243,3
TX-000244,2026-03-05 12:28:00,2026-03-06,NORTH CAFE,coffee and lunch,-12018,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000244,TERM-1064,counterparty-20,5493966,household account; coffee and lunch; statement export,PROVIDER-2026-00000244,0
TX-000245,2026-03-06 13:35:00,2026-03-07,MEDI-CORNER,pharmacy goods,-12155,RUB,4405,card,posted,health.pharmacy,RU,5912,AUTH-0000000245,TERM-1065,counterparty-21,5481811,household account; pharmacy goods; statement export,PROVIDER-2026-00000245,1
TX-000246,2026-03-07 14:42:00,2026-03-08,STREAM BOX,monthly subscription,-12292,RUB,4406,qr,posted,services.digital,RU,4899,AUTH-0000000246,TERM-1066,counterparty-22,5469519,household account; monthly subscription; statement export,PROVIDER-2026-00000246,2
TX-000247,2026-03-08 15:49:00,2026-03-09,GREEN MARKET,fresh food,-12429,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000247,TERM-1067,counterparty-23,5457090,household account; fresh food; statement export,PROVIDER-2026-00000247,3
TX-000248,2026-03-09 16:56:00,2026-03-10,BOOK HOUSE,books and stationery,-12566,RUB,4408,card,posted,unknown,RU,5942,AUTH-0000000248,TERM-1068,counterparty-24,5444524,household account; books and stationery; statement export,PROVIDER-2026-00000248,0
TX-000249,2026-03-10 17:03:00,2026-03-11,NOVA MARKET,groceries,-12703,RUB,4409,qr,posted,food.groceries,RU,5311,AUTH-0000000249,TERM-1069,counterparty-25,5431821,household account; groceries; statement export,PROVIDER-2026-00000249,1
TX-000250,2026-03-11 18:10:00,2026-03-12,CITY RIDE,completed ride,-12840,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000250,TERM-1070,counterparty-26,5418981,household account; completed ride; statement export,PROVIDER-2026-00000250,2
TX-000251,2026-03-12 19:17:00,2026-03-13,RIVER PAY,online order,-12977,RUB,4401,card,posted,services.digital,RU,5812,AUTH-0000000251,TERM-1071,counterparty-27,5406004,household account; online order; statement export,PROVIDER-2026-00000251,3
TX-000252,2026-03-13 08:24:00,2026-03-14,NORTH CAFE,coffee and lunch,-13114,RUB,4402,qr,posted,food.cafe,RU,5814,AUTH-0000000252,TERM-1072,counterparty-28,5392890,household account; coffee and lunch; statement export,PROVIDER-2026-00000252,0
TX-000253,2026-03-14 09:31:00,2026-03-15,MEDI-CORNER,pharmacy goods,-13251,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000253,TERM-1073,counterparty-29,5379639,household account; pharmacy goods; statement export,PROVIDER-2026-00000253,1
TX-000254,2026-03-15 10:38:00,2026-03-16,STREAM BOX,monthly subscription,-13388,RUB,4404,card,posted,services.digital,RU,4899,AUTH-0000000254,TERM-1074,counterparty-30,5366251,household account; monthly subscription; statement export,PROVIDER-2026-00000254,2
TX-000255,2026-03-16 11:45:00,2026-03-17,GREEN MARKET,fresh food,-13525,RUB,4405,qr,posted,food.groceries,RU,5411,AUTH-0000000255,TERM-1075,counterparty-31,5352726,household account; fresh food; statement export,PROVIDER-2026-00000255,3
TX-000256,2026-03-17 12:52:00,2026-03-18,BOOK HOUSE,books and stationery,-13662,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000256,TERM-1076,counterparty-00,5339064,household account; books and stationery; statement export,PROVIDER-2026-00000256,0
TX-000257,2026-03-18 13:59:00,2026-03-19,NOVA MARKET,groceries,-13799,RUB,4407,card,posted,food.groceries,RU,5311,AUTH-0000000257,TERM-1077,counterparty-01,5325265,household account; groceries; statement export,PROVIDER-2026-00000257,1
TX-000258,2026-03-19 14:06:00,2026-03-20,CITY RIDE,completed ride,-13936,RUB,4408,qr,posted,transport,RU,4121,AUTH-0000000258,TERM-1078,counterparty-02,5311329,household account; completed ride; statement export,PROVIDER-2026-00000258,2
TX-000259,2026-03-20 15:13:00,2026-03-21,RIVER PAY,online order,-14073,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000259,TERM-1079,counterparty-03,5297256,household account; online order; statement export,PROVIDER-2026-00000259,3
TX-000260,2026-03-21 16:20:00,2026-03-22,NORTH CAFE,coffee and lunch,-14210,RUB,4400,card,posted,food.cafe,RU,5814,AUTH-0000000260,TERM-1080,counterparty-04,5283046,household account; coffee and lunch; statement export,PROVIDER-2026-00000260,0
TX-000261,2026-03-22 17:27:00,2026-03-23,MEDI-CORNER,pharmacy goods,-14347,RUB,4401,qr,posted,health.pharmacy,RU,5912,AUTH-0000000261,TERM-1081,counterparty-05,5268699,household account; pharmacy goods; statement export,PROVIDER-2026-00000261,1
TX-000262,2026-03-23 18:34:00,2026-03-24,STREAM BOX,monthly subscription,-14484,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000262,TERM-1082,counterparty-06,5254215,household account; monthly subscription; statement export,PROVIDER-2026-00000262,2
TX-000263,2026-03-24 19:41:00,2026-03-25,GREEN MARKET,fresh food,-14621,RUB,4403,card,posted,food.groceries,RU,5411,AUTH-0000000263,TERM-1083,counterparty-07,5239594,household account; fresh food; statement export,PROVIDER-2026-00000263,3
TX-000264,2026-03-25 08:48:00,2026-03-26,BOOK HOUSE,books and stationery,-14758,RUB,4404,qr,posted,unknown,RU,5942,AUTH-0000000264,TERM-1084,counterparty-08,5224836,household account; books and stationery; statement export,PROVIDER-2026-00000264,0
TX-000265,2026-03-26 09:55:00,2026-03-27,NOVA MARKET,groceries,-14895,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000265,TERM-1085,counterparty-09,5209941,household account; groceries; statement export,PROVIDER-2026-00000265,1
TX-000266,2026-03-27 10:02:00,2026-03-28,CITY RIDE,completed ride,-15032,RUB,4406,card,posted,transport,RU,4121,AUTH-0000000266,TERM-1086,counterparty-10,5194909,household account; completed ride; statement export,PROVIDER-2026-00000266,2
TX-000267,2026-03-28 11:09:00,2026-03-29,RIVER PAY,online order,-15169,RUB,4407,qr,posted,services.digital,RU,5812,AUTH-0000000267,TERM-1087,counterparty-11,5179740,household account; online order; statement export,PROVIDER-2026-00000267,3
TX-000268,2026-03-29 12:16:00,2026-03-30,NORTH CAFE,coffee and lunch,-15306,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000268,TERM-1088,counterparty-12,5164434,household account; coffee and lunch; statement export,PROVIDER-2026-00000268,0
TX-000269,2026-03-30 13:23:00,2026-03-31,MEDI-CORNER,pharmacy goods,-15443,RUB,4409,card,posted,health.pharmacy,RU,5912,AUTH-0000000269,TERM-1089,counterparty-13,5148991,household account; pharmacy goods; statement export,PROVIDER-2026-00000269,1
TX-000270,2026-03-31 14:30:00,2026-04-01,STREAM BOX,monthly subscription,-15580,RUB,4400,qr,posted,services.digital,RU,4899,AUTH-0000000270,TERM-1000,counterparty-14,5133411,household account; monthly subscription; statement export,PROVIDER-2026-00000270,2
TX-000271,2026-01-01 15:37:00,2026-01-02,GREEN MARKET,fresh food,-15717,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000271,TERM-1001,counterparty-15,5117694,household account; fresh food; statement export,PROVIDER-2026-00000271,3
TX-000272,2026-01-02 16:44:00,2026-01-03,BOOK HOUSE,books and stationery,-15854,RUB,4402,card,posted,unknown,RU,5942,AUTH-0000000272,TERM-1002,counterparty-16,5101840,household account; books and stationery; statement export,PROVIDER-2026-00000272,0
TX-000273,2026-01-03 17:51:00,2026-01-04,NOVA MARKET,groceries,-15991,RUB,4403,qr,posted,food.groceries,RU,5311,AUTH-0000000273,TERM-1003,counterparty-17,5085849,household account; groceries; statement export,PROVIDER-2026-00000273,1
TX-000274,2026-01-04 18:58:00,2026-01-05,SALARY TEST,monthly income,250000,RUB,4404,card,posted,income.salary,RU,6011,AUTH-0000000274,TERM-1004,counterparty-18,5335849,household account; monthly income; statement export,PROVIDER-2026-00000274,2
TX-000275,2026-01-05 19:05:00,2026-01-06,RIVER PAY,online order,-16265,RUB,4405,card,posted,services.digital,RU,5812,AUTH-0000000275,TERM-1005,counterparty-19,5319584,household account; online order; statement export,PROVIDER-2026-00000275,3
TX-000276,2026-01-06 08:12:00,2026-01-07,NORTH CAFE,coffee and lunch,-16402,RUB,4406,qr,posted,food.cafe,RU,5814,AUTH-0000000276,TERM-1006,counterparty-20,5303182,household account; coffee and lunch; statement export,PROVIDER-2026-00000276,0
TX-000277,2026-01-07 09:19:00,2026-01-08,MEDI-CORNER,pharmacy goods,-16539,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000277,TERM-1007,counterparty-21,5286643,household account; pharmacy goods; statement export,PROVIDER-2026-00000277,1
TX-000278,2026-01-08 10:26:00,2026-01-09,STREAM BOX,monthly subscription,-16676,RUB,4408,card,posted,services.digital,RU,4899,AUTH-0000000278,TERM-1008,counterparty-22,5269967,household account; monthly subscription; statement export,PROVIDER-2026-00000278,2
TX-000279,2026-01-09 11:33:00,2026-01-10,GREEN MARKET,fresh food,-16813,RUB,4409,qr,posted,food.groceries,RU,5411,AUTH-0000000279,TERM-1009,counterparty-23,5253154,household account; fresh food; statement export,PROVIDER-2026-00000279,3
TX-000280,2026-01-10 12:40:00,2026-01-11,BOOK HOUSE,books and stationery,-16950,RUB,4400,card,posted,unknown,RU,5942,AUTH-0000000280,TERM-1010,counterparty-24,5236204,household account; books and stationery; statement export,PROVIDER-2026-00000280,0
TX-000281,2026-01-11 13:47:00,2026-01-12,NOVA MARKET,groceries,-17087,RUB,4401,card,posted,food.groceries,RU,5311,AUTH-0000000281,TERM-1011,counterparty-25,5219117,household account; groceries; statement export,PROVIDER-2026-00000281,1
TX-000282,2026-01-12 14:54:00,2026-01-13,CITY RIDE,completed ride,-17224,RUB,4402,qr,posted,transport,RU,4121,AUTH-0000000282,TERM-1012,counterparty-26,5201893,household account; completed ride; statement export,PROVIDER-2026-00000282,2
TX-000283,2026-01-13 15:01:00,2026-01-14,RIVER PAY,online order,-17361,RUB,4403,card,posted,services.digital,RU,5812,AUTH-0000000283,TERM-1013,counterparty-27,5184532,household account; online order; statement export,PROVIDER-2026-00000283,3
TX-000284,2026-01-14 16:08:00,2026-01-15,NORTH CAFE,coffee and lunch,-17498,RUB,4404,card,posted,food.cafe,RU,5814,AUTH-0000000284,TERM-1014,counterparty-28,5167034,household account; coffee and lunch; statement export,PROVIDER-2026-00000284,0
TX-000285,2026-01-15 17:15:00,2026-01-16,MEDI-CORNER,pharmacy goods,-17635,RUB,4405,qr,posted,health.pharmacy,RU,5912,AUTH-0000000285,TERM-1015,counterparty-29,5149399,household account; pharmacy goods; statement export,PROVIDER-2026-00000285,1
TX-000286,2026-01-16 18:22:00,2026-01-17,STREAM BOX,monthly subscription,-17772,RUB,4406,card,posted,services.digital,RU,4899,AUTH-0000000286,TERM-1016,counterparty-30,5131627,household account; monthly subscription; statement export,PROVIDER-2026-00000286,2
TX-000287,2026-01-17 19:29:00,2026-01-18,GREEN MARKET,fresh food,-17909,RUB,4407,card,posted,food.groceries,RU,5411,AUTH-0000000287,TERM-1017,counterparty-31,5113718,household account; fresh food; statement export,PROVIDER-2026-00000287,3
TX-000288,2026-01-18 08:36:00,2026-01-19,BOOK HOUSE,books and stationery,-18046,RUB,4408,qr,posted,unknown,RU,5942,AUTH-0000000288,TERM-1018,counterparty-00,5095672,household account; books and stationery; statement export,PROVIDER-2026-00000288,0
TX-000289,2026-01-19 09:43:00,2026-01-20,NOVA MARKET,groceries,-18183,RUB,4409,card,posted,food.groceries,RU,5311,AUTH-0000000289,TERM-1019,counterparty-01,5077489,household account; groceries; statement export,PROVIDER-2026-00000289,1
TX-000290,2026-01-20 10:50:00,2026-01-21,CITY RIDE,completed ride,-18320,RUB,4400,card,posted,transport,RU,4121,AUTH-0000000290,TERM-1020,counterparty-02,5059169,household account; completed ride; statement export,PROVIDER-2026-00000290,2
TX-000291,2026-01-21 11:57:00,2026-01-22,RIVER PAY,online order,-18457,RUB,4401,qr,posted,services.digital,RU,5812,AUTH-0000000291,TERM-1021,counterparty-03,5040712,household account; online order; statement export,PROVIDER-2026-00000291,3
TX-000292,2026-01-22 12:04:00,2026-01-23,NORTH CAFE,coffee and lunch,-18594,RUB,4402,card,posted,food.cafe,RU,5814,AUTH-0000000292,TERM-1022,counterparty-04,5022118,household account; coffee and lunch; statement export,PROVIDER-2026-00000292,0
TX-000293,2026-01-23 13:11:00,2026-01-24,MEDI-CORNER,pharmacy goods,-18731,RUB,4403,card,posted,health.pharmacy,RU,5912,AUTH-0000000293,TERM-1023,counterparty-05,5003387,household account; pharmacy goods; statement export,PROVIDER-2026-00000293,1
TX-000294,2026-01-24 14:18:00,2026-01-25,STREAM BOX,monthly subscription,-18868,RUB,4404,qr,posted,services.digital,RU,4899,AUTH-0000000294,TERM-1024,counterparty-06,4984519,household account; monthly subscription; statement export,PROVIDER-2026-00000294,2
TX-000295,2026-01-25 15:25:00,2026-01-26,GREEN MARKET,fresh food,-19005,RUB,4405,card,posted,food.groceries,RU,5411,AUTH-0000000295,TERM-1025,counterparty-07,4965514,household account; fresh food; statement export,PROVIDER-2026-00000295,3
TX-000296,2026-01-26 16:32:00,2026-01-27,BOOK HOUSE,books and stationery,-19142,RUB,4406,card,posted,unknown,RU,5942,AUTH-0000000296,TERM-1026,counterparty-08,4946372,household account; books and stationery; statement export,PROVIDER-2026-00000296,0
TX-000297,2026-01-27 17:39:00,2026-01-28,NOVA MARKET,groceries,-19279,RUB,4407,qr,posted,food.groceries,RU,5311,AUTH-0000000297,TERM-1027,counterparty-09,4927093,household account; groceries; statement export,PROVIDER-2026-00000297,1
TX-000298,2026-01-28 18:46:00,2026-01-29,CITY RIDE,completed ride,-19416,RUB,4408,card,posted,transport,RU,4121,AUTH-0000000298,TERM-1028,counterparty-10,4907677,household account; completed ride; statement export,PROVIDER-2026-00000298,2
TX-000299,2026-01-29 19:53:00,2026-01-30,RIVER PAY,online order,-19553,RUB,4409,card,posted,services.digital,RU,5812,AUTH-0000000299,TERM-1029,counterparty-11,4888124,household account; online order; statement export,PROVIDER-2026-00000299,3
TX-000300,2026-01-30 08:00:00,2026-01-31,NORTH CAFE,coffee and lunch,-19690,RUB,4400,qr,posted,food.cafe,RU,5814,AUTH-0000000300,TERM-1030,counterparty-12,4868434,household account; coffee and lunch; statement export,PROVIDER-2026-00000300,0
TX-000301,2026-01-31 09:07:00,2026-02-01,MEDI-CORNER,pharmacy goods,-19827,RUB,4401,card,posted,health.pharmacy,RU,5912,AUTH-0000000301,TERM-1031,counterparty-13,4848607,household account; pharmacy goods; statement export,PROVIDER-2026-00000301,1
TX-000302,2026-02-01 10:14:00,2026-02-02,STREAM BOX,monthly subscription,-19964,RUB,4402,card,posted,services.digital,RU,4899,AUTH-0000000302,TERM-1032,counterparty-14,4828643,household account; monthly subscription; statement export,PROVIDER-2026-00000302,2
TX-000303,2026-02-02 11:21:00,2026-02-03,GREEN MARKET,fresh food,-20101,RUB,4403,qr,posted,food.groceries,RU,5411,AUTH-0000000303,TERM-1033,counterparty-15,4808542,household account; fresh food; statement export,PROVIDER-2026-00000303,3
TX-000304,2026-02-03 12:28:00,2026-02-04,BOOK HOUSE,books and stationery,-20238,RUB,4404,card,posted,unknown,RU,5942,AUTH-0000000304,TERM-1034,counterparty-16,4788304,household account; books and stationery; statement export,PROVIDER-2026-00000304,0
TX-000305,2026-02-04 13:35:00,2026-02-05,NOVA MARKET,groceries,-20375,RUB,4405,card,posted,food.groceries,RU,5311,AUTH-0000000305,TERM-1035,counterparty-17,4767929,household account; groceries; statement export,PROVIDER-2026-00000305,1
TX-000306,2026-02-05 14:42:00,2026-02-06,CITY RIDE,completed ride,-20512,RUB,4406,qr,posted,transport,RU,4121,AUTH-0000000306,TERM-1036,counterparty-18,4747417,household account; completed ride; statement export,PROVIDER-2026-00000306,2
TX-000307,2026-02-06 15:49:00,2026-02-07,RIVER PAY,online order,-20649,RUB,4407,card,posted,services.digital,RU,5812,AUTH-0000000307,TERM-1037,counterparty-19,4726768,household account; online order; statement export,PROVIDER-2026-00000307,3
TX-000308,2026-02-07 16:56:00,2026-02-08,NORTH CAFE,coffee and lunch,-20786,RUB,4408,card,posted,food.cafe,RU,5814,AUTH-0000000308,TERM-1038,counterparty-20,4705982,household account; coffee and lunch; statement export,PROVIDER-2026-00000308,0
TX-000309,2026-02-08 17:03:00,2026-02-09,MEDI-CORNER,pharmacy goods,-20923,RUB,4409,qr,posted,health.pharmacy,RU,5912,AUTH-0000000309,TERM-1039,counterparty-21,4685059,household account; pharmacy goods; statement export,PROVIDER-2026-00000309,1
TX-000310,2026-02-09 18:10:00,2026-02-10,STREAM BOX,monthly subscription,-21060,RUB,4400,card,posted,services.digital,RU,4899,AUTH-0000000310,TERM-1040,counterparty-22,4663999,household account; monthly subscription; statement export,PROVIDER-2026-00000310,2
TX-000311,2026-02-10 19:17:00,2026-02-11,GREEN MARKET,fresh food,-21197,RUB,4401,card,posted,food.groceries,RU,5411,AUTH-0000000311,TERM-1041,counterparty-23,4642802,household account; fresh food; statement export,PROVIDER-2026-00000311,3
TX-000312,2026-02-11 08:24:00,2026-02-12,BOOK HOUSE,books and stationery,-21334,RUB,4402,qr,posted,unknown,RU,5942,AUTH-0000000312,TERM-1042,counterparty-24,4621468,household account; books and stationery; statement export,PROVIDER-2026-00000312,0
TX-000313,2026-02-12 09:31:00,2026-02-13,NOVA MARKET,groceries,-21471,RUB,4403,card,posted,food.groceries,RU,5311,AUTH-0000000313,TERM-1043,counterparty-25,4599997,household account; groceries; statement export,PROVIDER-2026-00000313,1
TX-000314,2026-02-13 10:38:00,2026-02-14,CITY RIDE,completed ride,-21608,RUB,4404,card,posted,transport,RU,4121,AUTH-0000000314,TERM-1044,counterparty-26,4578389,household account; completed ride; statement export,PROVIDER-2026-00000314,2
TX-000315,2026-02-14 11:45:00,2026-02-15,RIVER PAY,online order,-21745,RUB,4405,qr,posted,services.digital,RU,5812,AUTH-0000000315,TERM-1045,counterparty-27,4556644,household account; online order; statement export,PROVIDER-2026-00000315,3
TX-000316,2026-02-15 12:52:00,2026-02-16,NORTH CAFE,coffee and lunch,-21882,RUB,4406,card,posted,food.cafe,RU,5814,AUTH-0000000316,TERM-1046,counterparty-28,4534762,household account; coffee and lunch; statement export,PROVIDER-2026-00000316,0
TX-000317,2026-02-16 13:59:00,2026-02-17,MEDI-CORNER,pharmacy goods,-22019,RUB,4407,card,posted,health.pharmacy,RU,5912,AUTH-0000000317,TERM-1047,counterparty-29,4512743,household account; pharmacy goods; statement export,PROVIDER-2026-00000317,1
TX-000318,2026-02-17 14:06:00,2026-02-18,STREAM BOX,monthly subscription,-156,RUB,4408,qr,posted,services.digital,RU,4899,AUTH-0000000318,TERM-1048,counterparty-30,4512587,household account; monthly subscription; statement export,PROVIDER-2026-00000318,2
